iter	Passed	Remaining
444	1257	1568
445	1259	1564
446	1261	1560
447	1264	1558
448	1267	1555
449	1270	1552
450	1271	1548
451	1276	1547
452	1279	1544
453	1282	1542
454	1284	1539
455	1287	1536
456	1290	1533
457	1294	1532
458	1297	1529
459	1299	1525
460	1301	1521
461	1303	1517
462	1306	1515
463	1312	1516
464	1316	1514
465	1318	1511
466	1321	1508
467	1326	1508
468	1329	1505
469	1331	1501
470	1332	1497
471	1336	1494
472	1339	1492
473	1343	1490
474	1345	1486
475	1347	1482
476	1348	1478
477	1351	1475
478	1353	1472
479	1356	1469
480	1357	1465
481	1359	1461
482	1361	1456
483	1364	1454
484	1372	1457
485	1373	1452
486	1375	1448
487	1376	1444
488	1379	1441
489	1385	1442
490	1388	1439
491	1390	1435
492	1391	1431
493	1394	1428
494	1396	1425
495	1399	1421
496	1400	1417
497	1402	1414
498	1404	1409
499	1406	1406
500	1413	1407
501	1416	1404
502	1417	1400
503	1419	1396
504	1421	1393
505	1428	1394
506	1429	1390
507	1431	1386
508	1432	1382
509	1434	1378
510	1437	1375
511	1440	1373
512	1442	1369
513	1444	1365
514	1446	1362
515	1448	1358
516	1450	1355
517	1454	1353
518	1456	1349
519	1458	1345
520	1459	1341
521	1460	1337
522	1462	1334
523	1467	1333
524	1470	1330
525	1471	1326
526	1473	1322
527	1475	1318
528	1476	1314
529	1479	1311
530	1481	1308
531	1483	1305
532	1485	1301
533	1486	1297
534	1488	1293
535	1490	1290
536	1492	1286
537	1495	1284
538	1497	1281
539	1499	1277
540	1501	1273
541	1503	1270
542	1504	1266
543	1506	1262
544	1510	1261
545	1512	1257
546	1513	1253
547	1514	1249
548	1516	1245
549	1518	1242
550	1537	1252
551	1540	1249
552	1541	1246
553	1543	1242
554	1544	1238
555	1545	1234
556	1546	1230
557	1548	1226
558	1549	1222
559	1553	1220
560	1555	1217
561	1556	1213
562	1557	1209
563	1559	1205
564	1560	1201
565	1562	1197
566	1563	1194
567	1564	1190
568	1567	1187
569	1568	1183
570	1569	1179
571	1571	1175
572	1572	1171
573	1573	1168
574	1575	1164
575	1576	1160
576	1578	1157
577	1581	1154
578	1583	1151
579	1584	1147
580	1585	1143
581	1586	1139
582	1587	1135
583	1589	1131
584	1590	1128
585	1591	1124
586	1593	1121
587	1595	1118
588	1597	1114
589	1598	1110
590	1599	1107
591	1600	1103
592	1602	1099
593	1603	1095
594	1605	1092
595	1606	1089
596	1608	1085
597	1611	1083
598	1612	1079
599	1613	1075
600	1614	1072
601	1616	1068
602	1617	1064
603	1618	1061
604	1619	1057
605	1621	1053
606	1623	1051
607	1625	1048
608	1626	1044
609	1628	1040
610	1629	1037
611	1630	1033
612	1632	1030
613	1633	1026
614	1634	1023
615	1635	1019
616	1638	1016
617	1639	1013
618	1641	1010
619	1642	1006
620	1643	1003
621	1645	999
622	1646	996
623	1647	993
624	1649	989
625	1651	986
626	1652	983
627	1654	979
628	1655	976
629	1656	973
630	1658	969
631	1659	966
632	1660	963
633	1662	959
634	1663	956
635	1665	953
636	1667	950
637	1668	946
638	1669	943
639	1671	939
640	1672	936
641	1673	933
642	1674	929
643	1675	926
644	1677	923
645	1678	919
646	1680	916
647	1682	913
648	1683	910
649	1684	907
650	1685	903
651	1687	900
652	1688	897
653	1689	893
654	1690	890
655	1692	887
656	1694	884
657	1697	882
658	1698	878
659	1700	875
660	1701	872
661	1702	869
662	1703	866
663	1705	863
664	1706	859
665	1708	856
666	1711	854
667	1712	851
668	1714	848
669	1715	844
670	1716	841
671	1718	838
672	1719	835
673	1720	832
674	1721	829
675	1725	826
676	1726	823
677	1727	820
678	1729	817
679	1730	814
680	1731	811
681	1732	808
682	1734	804
683	1737	802
684	1740	800
685	1741	797
686	1742	794
687	1744	790
688	1745	788
689	1747	785
690	1748	782
691	1751	779
692	1754	777
693	1756	774
694	1758	771
695	1759	768
696	1761	765
697	1762	762
698	1764	760
699	1768	757
700	1770	755
701	1771	752
702	1772	749
703	1774	746
704	1775	742
705	1776	739
706	1778	737
707	1781	734
708	1783	732
709	1785	729
710	1787	726
711	1788	723
712	1789	720
713	1791	717
714	1792	714
715	1795	712
716	1798	709
717	1800	707
718	1801	704
719	1803	701
720	1804	698
721	1805	695
722	1807	692
723	1810	690
724	1813	687
725	1815	685
726	1816	682
727	1817	679
728	1819	676
729	1820	673
730	1823	670
731	1825	668
732	1826	665
733	1828	662
734	1829	659
735	1831	656
736	1832	654
737	1834	651
738	1837	649
739	1839	646
740	1841	643
741	1844	641
742	1845	638
743	1847	635
744	1849	632
745	1852	630
746	1854	628
747	1856	625
748	1858	622
749	1860	620
750	1863	617
751	1867	615
752	1869	613
753	1871	610
754	1876	608
755	1883	607
756	1886	605
757	1888	602
758	1889	599
759	1891	597
760	1895	595
761	1898	592
762	1899	590
763	1900	587
764	1902	584
765	1904	581
766	1906	579
767	1910	577
768	1912	574
769	1913	571
770	1915	568
771	1917	566
772	1919	563
773	1920	560
774	1923	558
775	1925	555
776	1927	553
777	1929	550
778	1931	547
779	1932	545
780	1933	542
781	1935	539
782	1938	537
783	1940	534
784	1942	531
785	1944	529
786	1945	526
787	1947	523
788	1948	521
789	1951	518
790	1953	516
791	1955	513
792	1956	510
793	1958	508
794	1959	505
795	1961	502
796	1963	500
797	1966	497
798	1968	495
799	1970	492
800	1972	489
801	1973	487
802	1974	484
803	1976	481
804	1978	479
805	1980	476
806	1982	474
807	1984	471
808	1985	468
809	1987	466
810	1988	463
811	1990	460
812	1994	458
813	1996	456
814	1997	453
815	1999	450
816	2000	448
817	2002	445
818	2003	442
819	2007	440
820	2009	438
821	2012	435
822	2013	433
823	2015	430
824	2016	427
825	2018	425
826	2021	422
827	2023	420
828	2025	417
829	2026	415
830	2027	412
831	2029	409
832	2030	407
833	2033	404
834	2036	402
835	2038	399
836	2039	397
837	2041	394
838	2042	391
839	2044	389
840	2047	387
841	2049	384
842	2051	382
843	2052	379
844	2054	376
845	2055	374
846	2057	371
847	2060	369
848	2064	367
849	2065	364
850	2067	361
851	2068	359
852	2070	356
853	2071	354
854	2074	351
855	2077	349
856	2079	347
857	2080	344
858	2082	341
859	2083	339
860	2085	336
861	2086	334
862	2089	331
863	2091	329
864	2093	326
865	2094	324
866	2095	321
867	2097	318
868	2098	316
869	2101	314
870	2104	311
871	2106	309
872	2107	306
873	2109	304
874	2110	301
875	2112	299
876	2113	296
877	2116	294
878	2119	291
879	2120	289
880	2121	286
881	2123	284
882	2124	281
883	2126	279
884	2128	276
885	2133	274
886	2135	272
887	2137	269
888	2139	267
889	2141	264
890	2144	262
891	2146	259
892	2148	257
893	2150	254
894	2151	252
895	2154	250
896	2156	247
897	2160	245
898	2162	243
899	2164	240
900	2166	238
901	2168	235
902	2170	233
903	2173	230
904	2175	228
905	2177	225
906	2179	223
907	2181	221
908	2183	218
909	2187	216
910	2190	213
911	2192	211
912	2193	209
913	2195	206
914	2196	204
915	2198	201
916	2205	199
917	2206	197
918	2208	194
919	2209	192
920	2211	189
921	2213	187
922	2217	184
923	2220	182
924	2221	180
925	2223	177
926	2225	175
927	2228	172
928	2231	170
929	2233	168
930	2235	165
931	2237	163
932	2238	160
933	2240	158
934	2244	156
935	2246	153
936	2248	151
937	2249	148
938	2251	146
939	2252	143
940	2254	141
941	2255	138
942	2259	136
943	2261	134
944	2262	131
945	2264	129
946	2266	126
947	2267	124
948	2269	121
949	2272	119
950	2274	117
951	2276	114
952	2278	112
953	2280	109
954	2282	107
955	2283	105
956	2288	102
957	2290	100
958	2291	97
959	2293	95
960	2294	93
961	2295	90
962	2297	88
963	2299	85
964	2301	83
965	2306	81
966	2308	78
967	2309	76
968	2311	73
969	2313	71
970	2316	69
971	2318	66
972	2320	64
973	2321	61
974	2323	59
975	2325	57
976	2328	54
977	2331	52
978	2333	50
979	2335	47
980	2336	45
981	2338	42
982	2340	40
983	2343	38
984	2345	35
985	2347	33
986	2348	30
987	2350	28
988	2351	26
989	2353	23
990	2359	21
991	2360	19
992	2362	16
993	2363	14
994	2365	11
995	2366	9
996	2368	7
997	2371	4
998	2373	2
999	2375	0
